A	B	C	TIME
681114	8.99776e+06	8.95405e+06	2.93443
1.45796e+06	3.23865e+07	3.20285e+07	19.1262
73044	141134	141106	0.034342
254498	18276.3	18276.3	0.013923
279961	3.13308e+06	3.13106e+06	0.982133
1.55731e+06	4.69229e+07	4.63986e+07	27.7196
82027	484422	483529	0.179185
84111	1.79537e+06	1.79484e+06	0.979521
537694	1.98473e+07	1.96465e+07	11.4487
1.12305e+06	6.11379e+07	6.01666e+07	35.0426
1.05832e+06	5.5952e+06	5.58426e+06	1.71027
165031	4.9763e+06	4.97357e+06	1.38801
1.73489e+06	4.87276e+07	4.82451e+07	17.5577
1.16476e+06	2.30184e+07	2.29423e+07	13.9868
515431	3.89199e+06	3.87286e+06	1.21119
1.76737e+06	3.3577e+06	3.35508e+06	0.94294
29840	580533	580468	0.230083
677834	2.84273e+06	2.83636e+06	0.877622
360723	1.72012e+07	1.71741e+07	5.50285
423003	7.71817e+06	7.71285e+06	2.37019
2.35624e+06	2.47498e+07	2.45625e+07	14.2695
807962	1.33282e+06	1.33222e+06	0.355241
6.43065e+06	5.80792e+07	5.77153e+07	20.4882
82891	1.17794e+06	1.17407e+06	0.687252
2.65274e+06	4.99831e+07	4.90272e+07	17.8765
980780	2.28172e+07	2.26891e+07	7.76654
1.87736e+06	8.85325e+07	8.72513e+07	53.7064
200491	2.46009e+06	2.45441e+06	1.35515
745559	1.84865e+07	1.84438e+07	6.36852
217967	4.72528e+06	4.72141e+06	2.59928
198836	138870	138783	0.035737
792386	1.44925e+07	1.44758e+07	4.42421
549663	5.26368e+06	5.24941e+06	1.75989
1.44063e+06	1.43376e+07	1.4243e+07	4.82367
380908	1.95007e+06	1.94678e+06	0.5421
464859	1.27652e+06	1.27561e+06	0.664264
4.73371e+06	9.69496e+07	9.55602e+07	57.4861
5.5206e+06	8.97972e+07	8.84441e+07	32.9745
145970	32905.9	32901.3	0.008104
1.39393e+06	1.52409e+06	1.51807e+06	0.467061
179229	535885	534435	0.268272
1.92581e+06	3.23267e+07	3.20038e+07	11.5163
53556	354691	354528	0.178918
36035	307062	306997	0.071064
36114	932808	931722	0.711235
621044	9.91694e+06	9.82474e+06	5.44755
1.34912e+06	2.99761e+06	2.9924e+06	1.59317
328067	1.4382e+07	1.43625e+07	4.93197
198646	3.55616e+06	3.55257e+06	1.08575
546613	6.56476e+06	6.41152e+06	3.37742
1.43999e+06	5.23597e+07	5.03087e+07	29.1167
215843	594139	592059	0.287417
1.36856e+06	1.01456e+08	9.96143e+07	60.3101
481095	454881	454255	0.124571
1.07789e+06	5.33133e+06	5.32854e+06	1.56172
768654	6.93899e+06	6.91803e+06	2.22678
1.78856e+06	1.77761e+07	1.77114e+07	10.2978
2.10436e+06	1.28504e+08	1.2694e+08	78.9008
80926	4.36394e+06	4.36137e+06	2.54984
639297	1.69482e+07	1.68275e+07	9.57499
419248	3.16998e+06	3.1659e+06	1.73163
762528	2.83434e+06	2.8333e+06	1.55998
189120	7.72926e+06	7.71186e+06	4.71906
1.02007e+06	2.01748e+07	2.01175e+07	6.82578
86919	1.73819e+06	1.73223e+06	0.994678
159466	1.79764e+06	1.79652e+06	1.05211
1.70404e+06	4.18824e+07	4.16153e+07	14.3993
2.18522e+06	3.2261e+07	3.14558e+07	11.6161
1.38682e+06	107823	107784	0.027229
106892	4.0195e+06	4.01732e+06	1.21111
